類目代碼,類目名稱,說明,是否隱藏
6002005010,廣東省肇慶市,,否
6002005011,廣東省惠州市,,否
6002005012,廣東省梅州市,,否
6002005013,廣東省汕尾市,,否
6002005014,廣東省河源市,,否
6002005015,廣東省陽江市,,否
6002005016,廣東省清遠市,,否
6002005017,廣東省東莞市,,否
6002005018,廣東省中山市,,否
6002005019,廣東省潮州市,,否
6002005020,廣東省揭陽市,,否
6002005021,廣東省雲浮市,,否
6002006000,福建省,,否
6002006001,福建省福州市,,否
6002006002,福建省廈門市,,否
6002006003,福建省莆田市,,否
6002006004,福建省三明市,,否
6002006005,福建省泉州市,,否
6002006006,福建省漳州市,,否
6002006007,福建省南平市,,否
6002006008,福建省龍岩市,,否
6002006009,福建省寧德市,,否
6002007000,海南省,,否
6002007001,海南省海口市,,否
6002007002,海南省三亞市,,否
6002007003,海南省省直轄,,否
6002008000,浙江省,,否
6002008001,浙江省杭州市,,否
6002008002,浙江省寧波市,,否
6002008003,浙江省溫州市,,否
6002008004,浙江省嘉興市,,否
6002008005,浙江省湖州市,,否
6002008006,浙江省紹興市,,否
6002008007,浙江省金華市,,否
6002008008,浙江省衢州市,,否
6002008009,浙江省舟山市,,否
6002008010,浙江省台州市,,否
6002008011,浙江省麗水市,,否
6002009000,江蘇省,,否
6002009001,江蘇省蘇州市,,否
6002009002,江蘇省南京市,,否
6002009003,江蘇省無錫市,,否
6002009004,江蘇省徐州市,,否
6002009005,江蘇省常州市,,否
6002009006,江蘇省南通市,,否
6002009007,江蘇省連雲港市,,否
6002009008,江蘇省淮安市,,否
6002009009,江蘇省鹽城市,,否
6002009010,江蘇省揚州市,,否
6002009011,江蘇省鎮江市,,否
6002009012,江蘇省泰州市,,否
6002009013,江蘇省宿遷市,,否
6002010000,山東省,,否
6002010001,山東省濟南市,山東省濟南市包括：章丘市,否
6002010002,山東省青島市,山東省青南市包括：膠州市、即墨市、平度市、膠南市、萊西市,否
6002010003,山東省淄博市,,否
6002010004,山東省棗庄市,山東省棗壓市包括：滕州市,否
6002010005,山東省東營市,,否
6002010006,山東省煙台市,山東省煙台市包括：龍口市、萊陽市、萊州市、蓬萊市、招遠市、棲霞市、海陽市,否
6002010007,山東省濰坊市,山東省濰坊市包括：青州市、諸城市、壽光市、安丘市、高密市、昌邑市,否
6002010008,山東省濟寧市,山東省濟寧市包括：曲阜市、兗州市、鄒城市,否
6002010009,山東省泰安市,山東省泰安市包括：新泰市、肥城市,否
6002010010,山東省威海市,山東省威海市包括：文登市、榮成市、乳山市,否
6002010011,山東省日照市,,否
6002010012,山東省萊蕪市,,否
6002010013,山東省臨沂市,,否
6002010014,山東省德州市,山東省德州市包括：樂陵市、禹城市,否
6002010015,山東省聊城市,山東省聊城市包括：臨清市,否
6002010016,山東省濱州市,,否
6002010017,山東省荷澤市,,否
6002011000,河北省,,否
6002011001,河北省石家庄市,河北省石家庄市包括：辛集市、槁城市、晉州市、新樂市、鹿泉市,否
6002011002,河北省唐山市,河北省唐山市包括：遵化市、遷安市,否
6002011003,河北省秦皇島市,,否
6002011004,河北省邯鄲市,河北省邯鄲市包括：武安市,否
6002011005,河北省邢台市,河北市邢台市包括：南?市、沙河市,否
6002011006,河北省保定市,河北省保定市包括：涿州市、定州市、安國市、高碑店市,否
6002011007,河北省張家口市,,否
6002011008,河北省承德市,,否
6002011009,河北省滄州市,河北省滄州市包括：泊頭市、任丘市、黃驊市、河間市,否
6002011010,河北省廊坊市,河北省廊坊市包括：霸州市、三河市,否
6002011011,河北省衡水市,河北省衡水市包括：冀州市、深州市,否
6002012000,遼寧省,,否
6002012001,遼寧省瀋陽市,遼寧省瀋陽市包括：新民市,否
6002012002,遼寧省大連市,遼寧省大連市包括：瓦房店市、普蘭店市、庄河市,否
6002012003,遼寧省鞍山市,遼寧省鞍山市包括：海城市,否
6002012004,遼寧省撫順市,,否
6002012005,遼寧省本溪市,,否
6002012006,遼寧省丹東市,遼寧省丹東市包括：東港市、鳳城市,否
6002012007,遼寧省錦州市,遼寧省錦州市包括：凌海市、北寧市,否
6002012008,遼寧省營口市,遼寧省營口市包括：蓋州市、大石橋市,否
6002012009,遼寧省阜新市,,否
6002012010,遼寧省遼陽市,遼寧省遼陽市包括：燈塔市,否
6002012011,遼寧省盤錦市,,否
6002012012,遼寧省鐵嶺市,遼寧省鐵嶺市包括：調兵山市、開原市,否
6002012013,遼寧省朝陽市,遼寧省朝陽市包括：北票市、凌源市,否
6002012014,遼寧省葫蘆島市,遼寧省葫蘆島市包括：興城市,否
6002013000,吉林省,,否
6002013001,吉林省長春市,吉林省長春市包括：九台市、榆樹市、德惠市,否
6002013002,吉林省吉林市,吉林省吉林市包括：蛟河市、樺甸市、舒蘭市、磐石市,否
6002013003,吉林省四平市,吉林省四平市包括：公主岭市、?遼市,否
6002013004,吉林省遼源市,,否
6002013005,吉林省通化市,吉林省通化市包括：梅河口市、集安市,否
6002013006,吉林省白山市,吉林省白山市包括：臨江市,否
6002013007,吉林省松原市,,否
6002013008,吉林省白城市,吉林省白城市包括：洮南市、大安市,否
6002013009,吉林省延邊朝鮮族自治州,吉林省延邊朝鮮族自治州包括：延吉市、圖們市、敦化市、琿春市、龍井市、和龍市,否
6002014000,黑龍江省,,否
6002014001,黑龍江省哈爾濱市,黑龍江省哈爾濱市包括：阿城市、?城市、尚志市、五常市、,否
6002014002,黑龍江省齊齊哈爾市,黑龍江省齊齊哈爾市包括：訥河市,否
6002014003,黑龍江省雞西市,黑龍江省雞西市包括：虎林市、密山市,否
6002014004,黑龍江省鶴崗市,,否
6002014005,黑龍江省雙鴨山市,,否
6002014006,黑龍江省大慶市,,否
6002014007,黑龍江省伊春市,黑龍江省伊春市包括：鐵力市,否
6002014008,黑龍江省佳木斯市,黑龍江省佳木斯市包括：同江市、富?市,否
6002014009,黑龍江省七台河市,,否
6002014010,黑龍江省牡丹江市,黑龍江省牡丹江市包括：綏芬河市、海林市、寧安市、穆棱市,否
6002014011,黑龍江省黑河市,黑龍江省黑河市包括：北安市、五大連池市,否
6002014012,黑龍江省綏化市,黑龍江省綏化市包括：安達市、肇東市、海倫市,否
6002014013,黑龍江省大興安嶺地區,,否
6002015000,湖南省,,否
6002015001,湖南省長沙市,湖南省長沙市包括：瀏陽市,否
6002015002,湖南省株洲市,,否
6002015003,湖南省湘潭市,湖南省湘潭市包括：湘鄉市、韶山市,否
6002015004,湖南省衡陽市,湖南省衡陽市包括：耒陽市、常寧市,否
6002015005,湖南省邵陽市,湖南省邵陽市包括：武岡市,否
6002015006,湖南省岳陽市,湖南省岳陽市包括：汨羅市、臨湘市,否
6002015007,湖南省常德市,湖南省常德市包括：津市市,否
6002015008,湖南省張家界市,,否
6002015009,湖南省益陽市,湖南省益陽市包括：沅江市,否
6002015010,湖南省郴州市,湖南省郴州市包括：資興市,否
6002015011,湖南省永州市,,否
6002015012,湖南省懷化市,湖南省懷化市包括：洪江市,否
6002015013,湖南省婁底市,湖南省婁底市包括：冷水江市、漣源市,否
6002015014,湖南省湘西土家族苗族自治州,湖南省湘西土家族苗族自治州包括：,否
6002016000,湖北省,,否
6002016001,湖北省武漢市,,否
6002016002,湖北省黃石市,湖北省黃石市包括：大冶市,否
6002016003,湖北省十堰市,湖北省十堰市包括：丹江口市,否
6002016004,湖北省宜昌市,湖北省宜昌市包括：宜都市、當陽市、枝江市,否
6002016005,湖北省襄樊市,湖北省襄樊市包括：老河口市、棗陽市、宜城市,否
6002016006,湖北省鄂州市,,否
6002016007,湖北省荊門市,湖北省荊門市包括：鐘祥市,否
6002016008,湖北省孝感市,湖北省孝感市包括：應城市、安陸市、漢川市,否
6002016009,湖北省荊州市,湖北省荊州市包括：石首市、洪湖市、松滋市,否
6002016010,湖北省黃岡市,湖北省黃岡市包括：麻城市、武穴市,否
6002016011,湖北省咸寧市,湖北省咸寧市包括：赤壁市,否
6002016012,湖北省隨州市,湖北省隨州市包括：廣水市,否
6002016013,湖北省神衣架林區,,否
6002016014,湖北省天門市,,否
6002016015,湖北省替江市,,否
6002016016,湖北省仙桃市,,否
6002016017,湖北省恩施土家族苗族自治州,湖北省恩施土家族苗族自治州包括：恩施市、利川市,否
6002016018,湖北省省直轄,,否
6002017000,江西省,,否
6002017001,江西省南昌市,,否
6002017002,江西省景德鎮市,江西省景德鎮市包括：樂平市,否
6002017003,江西省萍鄉市,,否
6002017004,江西省九江市,江西省九江市包括：瑞昌市,否
6002017005,江西省新余市,,否
6002017006,江西省鷹潭市,,否
6002017007,江西省贛州市,江西省贛州市包括：瑞金市、南康市,否
6002017008,江西省吉安市,江西省吉安市包括：井岡山市,否
6002017009,江西省宜春市,江西省宜春市包括：丰城市、樟樹市、高安市,否
6002017010,江西省撫州市,,否
6002017011,江西省上饒市,江西省上饒市包括：德興市,否
6002018000,安徽省,,否
6002018001,安徽省合肥市,,否
6002018002,安徽省蕪湖市,,否
6002018003,安徽省蚌埠市,,否
6002018004,安徽省淮南市,,否
6002018005,安徽省馬鞍山市,,否
6002018006,安徽省淮北市,,否
6002018007,安徽省銅陵市,,否
6002018008,安徽省安慶市,安徽省安慶市包括：桐城市,否
6002018009,安徽省黃山市,,否
6002018010,安徽省滁州市,安徽省滁州市包括：天長市、明光市,否
